iter	Logloss
0	0.6502015852
1	0.6091317514
2	0.5747866698
3	0.5456683676
4	0.516918268
5	0.4943978816
6	0.4684936377
7	0.4477247061
8	0.428621976
9	0.409252317
10	0.3912123317
11	0.3732834804
12	0.3586930255
13	0.343686885
14	0.3303386131
15	0.3158408752
16	0.3009204818
17	0.2909392861
18	0.2826725768
19	0.2738939098
20	0.2656840909
21	0.2566596241
22	0.2495599706
23	0.2415269747
24	0.2323872273
25	0.2248706412
26	0.2191769219
27	0.2146737948
28	0.2103233181
29	0.2061355207
30	0.1995874275
31	0.1934328577
32	0.1885566072
33	0.1852063688
34	0.1806740149
35	0.177439503
36	0.172924079
37	0.1687199667
38	0.1655570356
39	0.1613745565
40	0.1585188177
41	0.1560604489
42	0.1523140923
43	0.1491479288
44	0.1463635213
45	0.144504939
46	0.1405204145
47	0.1380063185
48	0.1348156169
49	0.1316854568
50	0.1289216779
51	0.126962948
52	0.1242651694
53	0.1228296141
54	0.1209119952
55	0.118542227
56	0.1161433379
57	0.1143033298
58	0.1110735562
59	0.1099243465
60	0.1081572641
61	0.1068465832
