iter	Passed	Remaining
0	18	1149
1	38	1161
2	57	1134
3	81	1177
4	98	1121
5	116	1086
6	132	1044
7	151	1020
8	169	995
9	186	970
10	204	947
11	221	923
12	239	903
13	257	881
14	277	869
15	298	858
16	316	836
17	337	824
18	357	809
19	378	794
20	395	772
21	413	752
22	432	732
23	450	713
24	468	693
25	485	672
26	503	652
27	518	629
28	534	608
29	550	586
30	566	566
31	585	548
32	602	529
33	620	510
34	637	491
35	654	472
36	672	454
37	696	439
38	720	425
39	747	411
40	769	394
41	791	376
42	806	356
43	827	338
44	845	319
45	861	299
46	877	280
47	894	261
48	912	242
49	929	223
50	947	204
51	963	185
52	984	167
53	1000	148
54	1018	129
55	1037	111
56	1054	92
57	1076	74
58	1100	55
59	1127	37
60	1153	18
61	1174	0
